Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,"Percent of patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their nurses ""Usually"" communicated well.","Percent of patients who reported that their nurses ""Always"" communicated well.","Percent of patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their doctors ""Usually"" communicated well.","Percent of patients who reported that their doctors ""Always"" communicated well.","Percent of patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted.","Percent of patients who reported that they ""Usually"" received help as soon as they wanted.","Percent of patients who reported that they ""Always"" received help as soon as they wanted.","Percent of patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled.","Percent of patients who reported that their pain was ""Usually"" well controlled.","Percent of patients who reported that their pain was ""Always"" well controlled.","Percent of patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Usually"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Always"" explained about medicines before giving it to them.","Percent of patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean.","Percent of patients who reported that their room and bathroom were ""Usually"" clean.","Percent of patients who reported that their room and bathroom were ""Always"" clean.","Percent of patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night.","Percent of patients who reported that the area around their room was ""Usually"" quiet at night.","Percent of patients who reported that the area around their room was ""Always"" quiet at night.","Percent of patients who reported that YES,they were given information about what to do during their recovery at home.",Percent of patients who reported that they were not given information about what to do during their recovery at home.,Percent of patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest).,"Percent of patients who reported NO,they would not recommend the hospital.","Percent of patients who reported YES,they would probably recommend the hospital.","Percent of patients who reported YES,they would definitely recommend the hospital.",Number of Completed Surveys,Survey Response Rate Percent,Hospital Footnote
390080,JEANES HOSPITAL,7600 CENTRAL AVE,,,PHILADELPHIA,PA,19111,PHILADELPHIA,2157282000,5%,17%,78%,4%,16%,80%,14%,28%,58%,7%,23%,70%,23%,18%,59%,9%,26%,65%,13%,33%,54%,79%,21%,10%,24%,66%,6%,26%,68%,300 or more,34%,
390081,DELAWARE COUNTY MEMORIAL HOSPITAL,501 NORTH LANSDOWNE AVE,,,DREXEL HILL,PA,19026,DELAWARE,2152848100,4%,20%,76%,5%,18%,77%,14%,30%,56%,8%,25%,67%,24%,18%,58%,8%,31%,61%,13%,39%,48%,83%,17%,10%,29%,61%,5%,28%,67%,300 or more,28%,
390084,SUNBURY COMMUNITY HOSPITAL,350 NORTH 11TH STREET,,,SUNBURY,PA,17801,NORTHUMBERLAND,5702863333,6%,19%,75%,5%,15%,80%,13%,27%,60%,11%,24%,65%,23%,18%,59%,9%,19%,72%,21%,36%,43%,85%,15%,9%,28%,63%,5%,36%,59%,Between 100 and 299,31%,
390086,DUBOIS REGIONAL MEDICAL CENTER,100 HOSPITAL AVENUE,,,DUBOIS,PA,15801,CLEARFIELD,8143712200,4%,17%,79%,5%,16%,79%,8%,26%,66%,6%,24%,70%,18%,17%,65%,7%,20%,73%,10%,39%,51%,87%,13%,7%,24%,69%,2%,23%,75%,300 or more,39%,
390090,WESTERN PENNSYLVANIA HOSPITAL,4800 FRIENDSHIP AVENUE,,,PITTSBURGH,PA,15224,ALLEGHENY,4125785000,7%,18%,75%,4%,17%,79%,16%,26%,58%,9%,24%,67%,24%,20%,56%,15%,24%,61%,14%,34%,52%,82%,18%,11%,23%,66%,9%,25%,66%,300 or more,35%,
390091,UPMC NORTHWEST,100 FAIRFIELD DRIVE,,,SENECA,PA,16346,VENANGO,8146767600,7%,23%,70%,6%,19%,75%,12%,29%,59%,9%,27%,64%,27%,20%,53%,7%,20%,73%,15%,39%,46%,77%,23%,17%,30%,53%,9%,40%,51%,300 or more,32%,
390093,CLARION HOSPITAL,271 PERKINS ROAD,,,CLARION,PA,16214,CLARION,8142269500,4%,22%,74%,3%,17%,80%,9%,29%,62%,5%,27%,68%,23%,19%,58%,9%,24%,67%,14%,42%,44%,82%,18%,8%,28%,64%,3%,37%,60%,300 or more,32%,
390095,MARIAN COMMUNITY HOSPITAL,100 LINCOLN AVENUE,,,CARBONDALE,PA,18407,LACKAWANNA,5702822100,6%,18%,76%,4%,14%,82%,16%,21%,63%,6%,25%,69%,20%,19%,61%,5%,14%,81%,13%,38%,49%,85%,15%,14%,24%,62%,8%,33%,59%,300 or more,32%,
390096,ST JOSEPH MEDICAL CENTER,2500 BERNVILLE ROAD,,,READING,PA,19605,BERKS,6103782300,3%,20%,77%,4%,17%,79%,8%,30%,62%,6%,24%,70%,23%,20%,57%,11%,21%,68%,13%,33%,54%,85%,15%,7%,20%,73%,4%,19%,77%,300 or more,35%,
390097,HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,1648 HUNTINGDON PIKE,,,MEADOWBROOK,PA,19046,MONTGOMERY,2159473000,6%,20%,74%,5%,17%,78%,12%,29%,59%,9%,26%,65%,23%,20%,57%,9%,23%,68%,14%,35%,51%,78%,22%,8%,23%,69%,5%,20%,75%,300 or more,33%,
390100,LANCASTER GENERAL HOSPITAL,555 NORTH DUKE STREET,,,LANCASTER,PA,17604,LANCASTER,7172995511,3%,21%,76%,5%,18%,77%,13%,34%,53%,7%,28%,65%,21%,22%,57%,9%,28%,63%,14%,40%,46%,87%,13%,8%,24%,68%,4%,20%,76%,300 or more,42%,
390101,MEMORIAL HOSPITAL YORK,325 SOUTH BELMONT STREET,,,YORK,PA,17403,YORK,7178438623,5%,26%,69%,6%,24%,70%,12%,37%,51%,8%,31%,61%,26%,23%,51%,9%,25%,66%,19%,37%,44%,82%,18%,9%,28%,63%,5%,28%,67%,300 or more,34%,
390102,UPMC ST MARGARET,815 FREEPORT ROAD,,,PITTSBURGH,PA,15215,ALLEGHENY,4127844000,5%,21%,74%,5%,18%,77%,13%,32%,55%,7%,27%,66%,20%,21%,59%,15%,24%,61%,18%,41%,41%,87%,13%,8%,27%,65%,4%,23%,73%,300 or more,41%,
390104,KANE COMMUNITY HOSPITAL,4372 ROUTE 6,,,KANE,PA,16735,MCKEAN,8148378585,2%,15%,83%,3%,12%,85%,6%,28%,66%,6%,21%,73%,13%,20%,67%,4%,13%,83%,8%,38%,54%,81%,19%,7%,22%,71%,2%,28%,70%,Between 100 and 299,39%,
390107,UPMC PASSAVANT,9100 BABCOCK BOULEVARD,,,PITTSBURGH,PA,15237,ALLEGHENY,4123676700,8%,25%,67%,6%,20%,74%,18%,31%,51%,10%,26%,64%,29%,18%,53%,17%,26%,57%,20%,37%,43%,83%,17%,13%,28%,59%,6%,30%,64%,300 or more,44%,
390108,MONTGOMERY HOSPITAL,POWELL & FORNANCE STREETS,,,NORRISTOWN,PA,19401,MONTGOMERY,6102702000,6%,20%,74%,5%,19%,76%,14%,25%,61%,8%,25%,67%,21%,20%,59%,13%,23%,64%,15%,32%,53%,82%,18%,15%,30%,55%,10%,34%,56%,300 or more,30%,
390110,CONEMAUGH VALLEY MEMORIAL HOSPITAL,1086 FRANKLIN STREET,,,JOHNSTOWN,PA,15905,CAMBRIA,8145349000,6%,18%,76%,6%,19%,75%,12%,26%,62%,8%,25%,67%,22%,19%,59%,9%,18%,73%,15%,38%,47%,83%,17%,12%,25%,63%,5%,31%,64%,300 or more,42%,
390111,HOSPITAL OF UNIV OF PENNSYLVANIA,34TH & SPRUCE STS,,,PHILADELPHIA,PA,19104,PHILADELPHIA,2156623227,4%,18%,78%,4%,16%,80%,12%,28%,60%,6%,23%,71%,18%,17%,65%,15%,28%,57%,19%,35%,46%,89%,11%,8%,21%,71%,4%,16%,80%,300 or more,34%,
390112,WINDBER HOSPITAL,600 SOMERSET AVENUE,,,WINDBER,PA,15963,SOMERSET,8144673000,4%,18%,78%,4%,13%,83%,7%,20%,73%,6%,23%,71%,21%,18%,61%,5%,17%,78%,11%,34%,55%,84%,16%,6%,21%,73%,3%,21%,76%,300 or more,43%,
390113,MEADVILLE MEDICAL CENTER,751 LIBERTY STREET,,,MEADVILLE,PA,16335,CRAWFORD,8143335000,4%,22%,74%,3%,15%,82%,12%,27%,61%,8%,21%,71%,20%,21%,59%,7%,21%,72%,12%,38%,50%,85%,15%,11%,24%,65%,5%,30%,65%,300 or more,33%,
390114,MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM,300 HALKET STREET,,,PITTSBURGH,PA,15213,ALLEGHENY,4126414010,6%,22%,72%,5%,17%,78%,14%,28%,58%,8%,28%,64%,23%,19%,58%,11%,22%,67%,17%,35%,48%,82%,18%,9%,25%,66%,5%,22%,73%,300 or more,39%,
390115,ARIA HEALTH,10800 KNIGHTS ROAD,,,PHILADELPHIA,PA,19114,PHILADELPHIA,2156124129,5%,17%,78%,7%,20%,73%,11%,21%,68%,7%,22%,71%,21%,19%,60%,8%,21%,71%,16%,35%,49%,79%,21%,9%,27%,64%,5%,28%,67%,300 or more,31%,
390116,MERCY SUBURBAN HOSPITAL,2701 DEKALB PIKE,,,NORRISTOWN,PA,19401,MONTGOMERY,2152782000,7%,23%,70%,6%,19%,75%,18%,32%,50%,11%,25%,64%,28%,18%,54%,16%,27%,57%,24%,39%,37%,86%,14%,15%,33%,52%,10%,36%,54%,300 or more,28%,
390117,UPMC BEDFORD,10455 LINCOLN HIGHWAY,,,EVERETT,PA,15537,BEDFORD,8146236161,5%,18%,77%,5%,17%,78%,10%,28%,62%,7%,25%,68%,24%,19%,57%,5%,18%,77%,11%,36%,53%,79%,21%,11%,31%,58%,6%,40%,54%,300 or more,37%,
390118,BRADFORD REGIONAL MEDICAL CENTER,116 INTERSTATE PARKWAY,,,BRADFORD,PA,16701,MCKEAN,8143684143,6%,18%,76%,5%,18%,77%,10%,23%,67%,7%,24%,69%,23%,21%,56%,6%,25%,69%,14%,36%,50%,81%,19%,10%,35%,55%,4%,39%,57%,300 or more,35%,
390119,MOSES TAYLOR HOSPITAL,700 QUINCY AVENUE,,,SCRANTON,PA,18510,LACKAWANNA,5703402100,6%,17%,77%,4%,14%,82%,13%,25%,62%,7%,25%,68%,21%,19%,60%,9%,22%,69%,13%,32%,55%,84%,16%,12%,25%,63%,5%,25%,70%,300 or more,37%,
390122,TITUSVILLE HOSPITAL,406 WEST OAK STREET,,,TITUSVILLE,PA,16354,CRAWFORD,8148271851,3%,14%,83%,3%,11%,86%,5%,21%,74%,4%,21%,75%,20%,15%,65%,5%,14%,81%,5%,28%,67%,85%,15%,7%,17%,76%,3%,25%,72%,300 or more,35%,
390123,POTTSTOWN MEMORIAL MEDICAL CENTER,1600 EAST HIGH STREET AND ARMAND HAMMER BLVD,,,POTTSTOWN,PA,19464,MONTGOMERY,6103277000,6%,20%,74%,7%,21%,72%,11%,31%,58%,8%,24%,68%,24%,20%,56%,14%,22%,64%,16%,35%,49%,84%,16%,11%,28%,61%,8%,35%,57%,300 or more,26%,
390125,WAYNE MEMORIAL HOSPITAL,601 PARK STREET,,,HONESDALE,PA,18431,WAYNE,5702538100,4%,17%,79%,4%,14%,82%,7%,23%,70%,7%,21%,72%,17%,20%,63%,5%,18%,77%,14%,37%,49%,87%,13%,10%,25%,65%,5%,31%,64%,300 or more,37%,
390127,PHOENIXVILLE HOSPITAL,140 NUTT ROAD,,,PHOENIXVILLE,PA,19460,CHESTER,6109831000,4%,18%,78%,4%,18%,78%,9%,29%,62%,5%,23%,72%,22%,19%,59%,9%,19%,72%,11%,29%,60%,84%,16%,7%,23%,70%,6%,22%,72%,300 or more,27%,
390130,MINERS MEDICAL CENTER,290 HAIDA AVENUE,,,HASTINGS,PA,16646,CAMBRIA,8142473100,2%,16%,82%,0%,13%,87%,4%,20%,76%,5%,22%,73%,17%,21%,62%,8%,17%,75%,5%,33%,62%,88%,12%,6%,19%,75%,4%,21%,75%,Between 100 and 299,36%,
390132,ST JOSEPH'S HOSPITAL,1600 WEST GIRARD AVENUE,,,PHILADELPHIA,PA,19130,PHILADELPHIA,2157872000,21%,19%,60%,12%,15%,73%,35%,20%,45%,19%,18%,63%,33%,19%,48%,25%,21%,54%,22%,21%,57%,67%,33%,35%,26%,39%,26%,40%,34%,Between 100 and 299,8%,
390133,LEHIGH VALLEY HOSPITAL,PO BOX 689,,,ALLENTOWN,PA,18105,LEHIGH,6104022273,3%,19%,78%,4%,20%,76%,9%,31%,60%,5%,28%,67%,20%,22%,58%,13%,26%,61%,19%,38%,43%,85%,15%,7%,22%,71%,3%,19%,78%,300 or more,41%,
390137,WILKES-BARRE GENERAL HOSPITAL,575 NORTH RIVER STREET,,,WILKES-BARRE,PA,18764,LUZERNE,5708298111,5%,17%,78%,4%,15%,81%,12%,27%,61%,7%,22%,71%,23%,18%,59%,13%,21%,66%,17%,33%,50%,82%,18%,9%,28%,63%,5%,31%,64%,300 or more,26%,
390138,WAYNESBORO HOSPITAL,501 EAST MAIN ST,,,WAYNESBORO,PA,17268,FRANKLIN,7177654000,2%,17%,81%,3%,18%,79%,5%,27%,68%,5%,24%,71%,16%,20%,64%,7%,20%,73%,13%,34%,53%,86%,14%,5%,20%,75%,3%,22%,75%,300 or more,38%,
390139,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,130 SOUTH BRYN MAWR AVE,,,BRYN MAWR,PA,19010,DELAWARE,6105263000,3%,16%,81%,5%,18%,77%,10%,27%,63%,7%,23%,70%,20%,19%,61%,11%,23%,66%,16%,38%,46%,82%,18%,6%,21%,73%,3%,17%,80%,300 or more,38%,
390142,ALBERT EINSTEIN MEDICAL CENTER,5501 OLD YORK ROAD,,,PHILADELPHIA,PA,19141,PHILADELPHIA,2154566090,9%,22%,69%,8%,18%,74%,17%,27%,56%,10%,24%,66%,25%,16%,59%,12%,26%,62%,18%,28%,54%,76%,24%,14%,30%,56%,11%,32%,57%,300 or more,15%,
390145,EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL,532 WEST PITTSBURGH STREET,,,GREENSBURG,PA,15601,WESTMORELAND,4128325050,7%,19%,74%,5%,16%,79%,15%,25%,60%,10%,23%,67%,24%,18%,58%,12%,24%,64%,21%,35%,44%,76%,24%,14%,29%,57%,7%,33%,60%,300 or more,34%,
390146,WARREN GENERAL HOSPITAL,TWO CRESCENT PARK WEST,,,WARREN,PA,16365,WARREN,8147233300,2%,18%,80%,5%,14%,81%,7%,22%,71%,4%,25%,71%,17%,18%,65%,5%,19%,76%,15%,40%,45%,81%,19%,6%,29%,65%,3%,34%,63%,300 or more,37%,
390147,MONONGAHELA VALLEY HOSPITAL,1163 COUNTRY CLUB ROAD,,,MONONGAHELA,PA,15063,WASHINGTON,7242581000,3%,16%,81%,3%,14%,83%,8%,21%,71%,5%,20%,75%,17%,19%,64%,4%,14%,82%,9%,31%,60%,84%,16%,8%,25%,67%,3%,29%,68%,300 or more,39%,
390150,SOUTHWEST REGIONAL MEDICAL CENTER,350 BONAR AVENUE,,,WAYNESBURG,PA,15370,GREENE,7246272602,6%,17%,77%,3%,14%,83%,13%,27%,60%,8%,23%,69%,22%,19%,59%,15%,22%,63%,15%,31%,54%,84%,16%,8%,32%,60%,6%,37%,57%,300 or more,34%,
390151,CHAMBERSBURG HOSPITAL,112 NORTH SEVENTH STREET,,,CHAMBERSBURG,PA,17201,FRANKLIN,7172673000,4%,20%,76%,6%,20%,74%,7%,28%,65%,5%,27%,68%,22%,20%,58%,8%,21%,71%,14%,46%,40%,80%,20%,10%,29%,61%,4%,38%,58%,300 or more,37%,
390153,MAIN LINE HOSPITAL PAOLI,255 WEST LANCASTER AVENUE,,,PAOLI,PA,19301,CHESTER,6106481000,4%,16%,80%,4%,17%,79%,9%,26%,65%,5%,23%,72%,22%,18%,60%,11%,20%,69%,10%,35%,55%,81%,19%,4%,16%,80%,2%,12%,86%,300 or more,44%,
390154,ELK REGIONAL HEALTH CENTER,763 JOHNSONBURG ROAD,,,SAINT MARYS,PA,15857,ELK,8147888000,5%,22%,73%,6%,19%,75%,11%,27%,62%,9%,27%,64%,19%,21%,60%,6%,21%,73%,20%,37%,43%,82%,18%,15%,33%,52%,9%,39%,52%,300 or more,36%,
390156,MERCY FITZGERALD HOSPITAL,LANSDOWNE & BAILY RDS,,,DARBY,PA,19023,DELAWARE,2152374000,10%,22%,68%,9%,19%,72%,21%,27%,52%,14%,24%,62%,27%,21%,52%,13%,25%,62%,16%,32%,52%,80%,20%,18%,29%,53%,10%,41%,49%,300 or more,16%,
390157,OHIO VALLEY GENERAL HOSPITAL,25 HECKEL ROAD,,,MCKEES ROCKS,PA,15136,ALLEGHENY,4127776161,6%,22%,72%,6%,20%,74%,13%,26%,61%,7%,30%,63%,25%,17%,58%,10%,22%,68%,11%,33%,56%,78%,22%,8%,28%,64%,6%,24%,70%,300 or more,28%,
390160,CANONSBURG GENERAL HOSPITAL,100 MEDICAL BOULEVARD,,,CANONSBURG,PA,15317,WASHINGTON,7248735892,4%,17%,79%,4%,14%,82%,13%,26%,61%,9%,26%,65%,18%,20%,62%,10%,21%,69%,9%,34%,57%,76%,24%,9%,22%,69%,4%,23%,73%,300 or more,38%,
390162,EASTON HOSPITAL,250 SOUTH 21ST STREET,,,EASTON,PA,18042,NORTHAMPTON,6102504076,7%,19%,74%,5%,19%,76%,16%,30%,54%,8%,23%,69%,25%,19%,56%,10%,22%,68%,14%,33%,53%,84%,16%,11%,28%,61%,6%,36%,58%,300 or more,27%,
390163,ACMH HOSPITAL,ONE NOLTE DRIVE,,,KITTANNING,PA,16201,ARMSTRONG,7245438404,3%,19%,78%,3%,16%,81%,8%,27%,65%,6%,24%,70%,20%,19%,61%,10%,24%,66%,17%,40%,43%,84%,16%,8%,29%,63%,3%,31%,66%,300 or more,42%,
390164,UPMC PRESBYTERIAN SHADYSIDE,200 LOTHROP STREET,,,PITTSBURGH,PA,15213,ALLEGHENY,4126478788,5%,21%,74%,6%,18%,76%,13%,32%,55%,8%,27%,65%,23%,20%,57%,15%,26%,59%,18%,36%,46%,86%,14%,11%,24%,65%,5%,25%,70%,300 or more,35%,
390168,BUTLER MEMORIAL HOSPITAL,ONE HOSPITAL WAY,,,BUTLER,PA,16001,BUTLER,7242836666,5%,19%,76%,5%,17%,78%,10%,30%,60%,6%,24%,70%,22%,19%,59%,12%,21%,67%,14%,35%,51%,89%,11%,7%,26%,67%,4%,24%,72%,300 or more,38%,
390173,INDIANA REGIONAL MEDICAL CENTER,"835 HOSPITAL ROAD,  PO BOX 788",,,INDIANA,PA,15701,INDIANA,7243577000,3%,16%,81%,3%,14%,83%,6%,27%,67%,5%,25%,70%,18%,19%,63%,5%,16%,79%,15%,37%,48%,88%,12%,6%,22%,72%,3%,26%,71%,300 or more,41%,
390174,THOMAS JEFFERSON UNIVERSITY HOSPITAL,111 SOUTH 11TH STREET,,,PHILADELPHIA,PA,19107,PHILADELPHIA,2159556000,5%,18%,77%,5%,17%,78%,9%,24%,67%,7%,23%,70%,20%,19%,61%,12%,24%,64%,17%,34%,49%,85%,15%,9%,20%,71%,5%,19%,76%,300 or more,32%,
390178,UPMC HORIZON,110 NORTH MAIN STREET,,,GREENVILLE,PA,16125,MERCER,7245882100,6%,23%,71%,4%,16%,80%,14%,31%,55%,9%,25%,66%,24%,20%,56%,8%,22%,70%,21%,36%,43%,82%,18%,13%,28%,59%,5%,33%,62%,300 or more,39%,
390179,CHESTER COUNTY HOSPITAL,701 EAST MARSHALL ST,,,WEST CHESTER,PA,19380,CHESTER,6104315000,3%,17%,80%,4%,16%,80%,7%,22%,71%,5%,21%,74%,19%,20%,61%,7%,21%,72%,12%,40%,48%,79%,21%,5%,22%,73%,3%,18%,79%,300 or more,36%,
390180,CROZER CHESTER MEDICAL CENTER,ONE MEDICAL CENTER BOULEVARD,,,UPLAND,PA,19013,DELAWARE,6104472000,8%,22%,70%,8%,20%,72%,18%,29%,53%,12%,26%,62%,27%,21%,52%,16%,27%,57%,21%,33%,46%,78%,22%,16%,28%,56%,11%,33%,56%,300 or more,26%,
390183,ST LUKE'S MINERS MEMORIAL HOSPITAL,360 W RUDDLE STREET,,,COALDALE,PA,18218,SCHUYLKILL,5706452131,6%,17%,77%,3%,17%,80%,14%,29%,57%,10%,24%,66%,23%,22%,55%,7%,17%,76%,14%,37%,49%,81%,19%,12%,28%,60%,7%,27%,66%,300 or more,34%,
390184,HIGHLANDS HOSPITAL,401 EAST MURPHY AVENUE,,,CONNELLSVILLE,PA,15425,FAYETTE,7246281500,3%,16%,81%,2%,11%,87%,4%,23%,73%,6%,19%,75%,17%,20%,63%,4%,18%,78%,14%,38%,48%,88%,12%,9%,22%,69%,5%,26%,69%,300 or more,31%,
390185,HAZLETON GENERAL HOSPITAL,700 EAST BROAD STREET,,,HAZLETON,PA,18201,LUZERNE,5705014000,6%,21%,73%,5%,17%,78%,12%,27%,61%,7%,24%,69%,26%,17%,57%,5%,16%,79%,18%,36%,46%,78%,22%,14%,32%,54%,9%,43%,48%,300 or more,28%,
390189,SHAMOKIN AREA COMMUNITY HOSPITAL,4200 HOSPITAL ROAD,,,COAL TOWNSHIP,PA,17866,NORTHUMBERLAND,5706444200,5%,16%,79%,3%,14%,83%,8%,25%,67%,8%,25%,67%,26%,19%,55%,3%,13%,84%,15%,38%,47%,84%,16%,9%,18%,73%,4%,18%,78%,300 or more,43%,
390192,TYLER MEMORIAL HOSPITAL,880 STATE ROUTE 6 WEST,,,TUNKHANNOCK,PA,18657,WYOMING,5708362161,5%,18%,77%,3%,13%,84%,9%,22%,69%,8%,25%,67%,23%,18%,59%,5%,20%,75%,16%,41%,43%,84%,16%,10%,27%,63%,6%,36%,58%,300 or more,38%,
390194,GNADEN HUETTEN MEMORIAL HOSPITAL,211 NORTH 12TH STREET,,,LEHIGHTON,PA,18235,CARBON,6073771300,4%,18%,78%,6%,18%,76%,8%,28%,64%,9%,22%,69%,19%,22%,59%,5%,16%,79%,15%,32%,53%,80%,20%,11%,21%,68%,7%,32%,61%,Between 100 and 299,29%,
390195,MAIN LINE HOSPITAL LANKENAU,100 LANCASTER AVE,,,WYNNEWOOD,PA,19096,MONTGOMERY,6106452000,4%,19%,77%,4%,17%,79%,13%,29%,58%,7%,24%,69%,23%,18%,59%,10%,25%,65%,17%,33%,50%,81%,19%,7%,19%,74%,4%,17%,79%,300 or more,32%,
390197,SACRED HEART HOSPITAL,421 CHEW STREET,,,ALLENTOWN,PA,18102,LEHIGH,6107764900,8%,23%,69%,6%,20%,74%,15%,27%,58%,10%,29%,61%,26%,15%,59%,8%,21%,71%,10%,32%,58%,81%,19%,14%,26%,60%,11%,31%,58%,300 or more,30%,
390198,MILLCREEK COMMUNITY HOSPITAL,5515 PEACH STREET,,,ERIE,PA,16509,ERIE,8148644031,6%,21%,73%,3%,15%,82%,5%,29%,66%,9%,29%,62%,25%,21%,54%,11%,20%,69%,12%,32%,56%,80%,20%,11%,25%,64%,9%,28%,63%,300 or more,32%,
390199,PUNXSUTAWNEY AREA HOSPITAL,81 HILLCREST DRIVE,,,PUNXSUTAWNEY,PA,15767,JEFFERSON,8149381800,4%,17%,79%,4%,13%,83%,7%,23%,70%,5%,24%,71%,19%,17%,64%,8%,24%,68%,11%,36%,53%,90%,10%,7%,27%,66%,4%,27%,69%,300 or more,43%,
390201,POCONO MEDICAL CENTER,206 EAST BROWN STREET,,,EAST STROUDSBURG,PA,18301,MONROE,5704763348,6%,17%,77%,4%,17%,79%,13%,22%,65%,9%,20%,71%,23%,17%,60%,8%,20%,72%,18%,33%,49%,82%,18%,10%,24%,66%,5%,30%,65%,300 or more,32%,
390203,DOYLESTOWN HOSPITAL,595 WEST STATE ST,,,DOYLESTOWN,PA,18901,BUCKS,2153452200,2%,15%,83%,2%,16%,82%,5%,19%,76%,4%,20%,76%,19%,18%,63%,8%,20%,72%,14%,38%,48%,82%,18%,4%,17%,79%,2%,12%,86%,300 or more,43%,
390204,NAZARETH HOSPITAL,2601 HOLME AVE,,,PHILADELPHIA,PA,19152,PHILADELPHIA,2153356000,8%,22%,70%,10%,20%,70%,17%,29%,54%,11%,25%,64%,26%,21%,53%,11%,24%,65%,16%,35%,49%,80%,20%,14%,30%,56%,10%,32%,58%,300 or more,29%,
390211,SHARON REGIONAL HEALTH SYSTEM,740 EAST STATE STREET,,,SHARON,PA,16146,MERCER,7249833912,4%,19%,77%,4%,16%,80%,10%,28%,62%,5%,23%,72%,22%,20%,58%,10%,26%,64%,15%,40%,45%,84%,16%,7%,26%,67%,3%,28%,69%,300 or more,39%,
390217,EXCELA HEALTH FRICK HOSPITAL,508 SOUTH CHURCH STREET,,,MOUNT PLEASANT,PA,15666,WESTMORELAND,7245471500,2%,18%,80%,4%,16%,80%,9%,26%,65%,7%,26%,67%,19%,19%,62%,7%,21%,72%,18%,36%,46%,83%,17%,8%,26%,66%,3%,31%,66%,300 or more,34%,
390219,EXCELA HEALTH LATROBE HOSPITAL,ONE MELLON WAY,,,LATROBE,PA,15650,WESTMORELAND,7245371000,4%,18%,78%,5%,17%,78%,8%,21%,71%,7%,27%,66%,21%,22%,57%,11%,24%,65%,14%,39%,47%,80%,20%,9%,26%,65%,4%,27%,69%,300 or more,39%,
390220,JENNERSVILLE REGIONAL HOSPITAL,1015 WEST BALTIMORE PIKE,,,WEST GROVE,PA,19390,CHESTER,6108691000,6%,21%,73%,8%,20%,72%,14%,31%,55%,9%,24%,67%,27%,21%,52%,14%,23%,63%,20%,33%,47%,78%,22%,12%,32%,56%,10%,37%,53%,300 or more,28%,
390222,RIDDLE MEMORIAL HOSPITAL,1068 WEST BALTIMORE PIKE,,,MEDIA,PA,19063,DELAWARE,6105669400,5%,19%,76%,6%,18%,76%,9%,28%,63%,6%,25%,69%,22%,19%,59%,11%,26%,63%,18%,37%,45%,81%,19%,10%,28%,62%,6%,29%,65%,300 or more,37%,
390223,PENN PRESBYTERIAN MEDICAL CENTER,51 NORTH 39TH STREET,,,PHILADELPHIA,PA,19104,PHILADELPHIA,2156628000,4%,16%,80%,4%,14%,82%,12%,24%,64%,6%,22%,72%,17%,19%,64%,10%,23%,67%,17%,30%,53%,85%,15%,7%,22%,71%,4%,17%,79%,300 or more,35%,
390225,EPHRATA COMMUNITY HOSPITAL,169 MARTIN AVENUE,,,EPHRATA,PA,17522,LANCASTER,7177330311,2%,20%,78%,3%,21%,76%,7%,27%,66%,6%,26%,68%,21%,24%,55%,8%,23%,69%,14%,39%,47%,85%,15%,7%,25%,68%,3%,26%,71%,300 or more,47%,
390226,PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,800 SPRUCE STREET,,,PHILADELPHIA,PA,19107,PHILADELPHIA,2158293000,5%,22%,73%,7%,18%,75%,13%,30%,57%,7%,26%,67%,23%,20%,57%,7%,26%,67%,13%,33%,54%,81%,19%,10%,23%,67%,6%,22%,72%,300 or more,35%,
390228,ST CLAIR MEMORIAL HOSPITAL,1000 BOWER HILL ROAD,,,PITTSBURGH,PA,15243,ALLEGHENY,4125614900,4%,16%,80%,5%,16%,79%,9%,28%,63%,7%,21%,72%,19%,20%,61%,8%,22%,70%,15%,37%,48%,83%,17%,6%,21%,73%,3%,19%,78%,300 or more,44%,
390231,ABINGTON MEMORIAL HOSPITAL,1200 OLD YORK ROAD,,,ABINGTON,PA,19001,MONTGOMERY,2154812000,4%,21%,75%,5%,17%,78%,11%,30%,59%,6%,26%,68%,20%,19%,61%,14%,26%,60%,16%,37%,47%,81%,19%,9%,23%,68%,4%,20%,76%,300 or more,37%,
